Direct location lookup,SB04400361000
Direct location lookup,Get info for SB04400361000
Direct location lookup,Tell me about UC04400251000
Search by location name,Sha Tin Park
Search by location name,info of Sha Tin Park
Search by location name,search for hospital
Search by location name,find school
Multi-code memory + report follow-up,SB04400361000 SC04400206005
Multi-code memory + report follow-up,AA00200081000 BB04400174001 RB01800059000
Multi-code memory + report follow-up,which have BSI report
Multi-code memory + report follow-up,check KAI and DSSR
Multi-code memory + report follow-up,which of these has CSR report
Inline report check with codes, which of these have BSI report: AA00200081000 BB04400174001 RB01800059000
Inline report check with codes,show KAI report for SB04400361000 SC04400206005
Inline report check with codes,check DSSR for SB04400361000, SC04400206005
Inline report check with codes,check all 5 reports for QA03206005000 QB03106003000
PSM queries,list all PSMs
PSM queries,show PSMs
PSM queries,how many PSMs are there
PSM queries,show locations under PSM/KT
PSM queries,PSM/SHA TIN EAST
PSM queries,which locations belong to PSM/YAU MA TEI
PSM queries,Show top 50 locations under PSM/KT
PSM queries,Show locations under PSM/KT with address not undefined
PSM queries,Show top 20 locations under PSM/KT with address not undefined
PSM queries,Show first 50 locations under PSM central with address not null
PSM multi-step prompts,Get info for first location code under PSM/KT
PSM multi-step prompts,Which locations under PSM/KT have BSI report?
PSM multi-step prompts,Show first location under PSM/SHEUNG SHUI
Department queries,show department AFCD
Department queries,show locations for department LCSD
Department queries,list HD properties
Department queries,show FEHD buildings
Department multi-step,Which AFCD locations have BSI report?
Department multi-step,Show LCSD locations with KAI report
Department multi-step,Which LCSD location in Sha Tin has BSI and KAI reports?
Department multi-step,Show department managing UC07300217003
Department multi-step,show managing department of lo wu
Monument queries,show declared monuments
Monument queries,show declared monuments T
Monument queries,show declared monuments F
Monument queries,show declared monuments ALL
Monument queries,list monument buildings
Monument queries,show non-monument locations
Historic building queries,show historic buildings
Historic building queries,show historic buildings grade 1
Historic building queries,show historic buildings grade 2
Historic building queries,show historic buildings grade 3
Historic building queries,show historic buildings grade NONE
Historic building queries,show graded buildings only
Historic building queries,list graded buildings
Code history queries,Search location code history for UD04400253000
Code history queries,what is the new code for UD04400253000
Code history queries,what was the old code for UC04400251000
Code history queries,former code UD04400253000
Code history queries,Find former code of UD04400253000 and check if it has BSI report
Code history queries,Search location code history for UD04400253000 and check KAI report
Code history queries,Get current code for UD04400253000 and show DSSR report
Schema / meta,show schema
Schema / meta,show database schema
Schema / meta,what tables and columns exist
Complex / edge cases,Which playground in Lo Wu has a historic status?
Complex / edge cases,Which department manages the oldest historic monument in Lo Wu?
Complex / edge cases,Find the first historic location under PSM/KT and show its details
Complex / edge cases,Which LCSD location in Sha Tin has BSI and KAI reports?
Template examples,Get info for …
Template examples,Search location named …
Template examples,Show locations under PSM …
Template examples,Show locations for department …
Template examples,Show declared monuments …
Template examples,Show historic buildings grade …
Template examples,Search location code history for …
Template examples,Check BSI reports for …
